the_geom,longitude,the_geom_webmercator,avg_tech,latitude,houses,avg_unemp,cartodb_id,avg_index,avg_price,avg_basement,avg_sqft,avg_water_dist,avg_age,ind
0101000020E61000005401F73CFF915EC0C67E3FCA42A24740,-122.2812035,0101000020110F000043A7D4299FF669C15871885F94D55641,0.11,47.26766327,39,6.33,1,0.38,300029.36,0.26,2129.18,1.77,34.46,1
0101000020E610000066AF2DF2A18F5EC0A3785399FBA14740,-122.2442594,0101000020110F0000E58FAE169DF469C1422BC7453BD55641,0.08,47.26549069,33,6.58,2,0.25,222543.79,0.06,1629.12,2.08,29.18,2
0101000020E6100000DAFF006BD5935EC0A1DC53C516A24740,-122.309901,0101000020110F0000A0D6BE7C2EF869C1841896475DD55641,0.15,47.26631991,52,6.12,3,0.37,285974.27,0.27,1887.77,1.64,27.13,3
0101000020E6100000CC913AA6138C5EC08F54DFF945A24740,-122.1886993,0101000020110F0000F8342DF997F169C1AD885D5C98D55641,0.07,47.2677605,73,6.29,4,0.34,333021.34,0.1,2259.56,2.22,19.18,4
0101000020E6100000E70EACF424955EC05745559F6DA34740,-122.3303806,0101000020110F0000B87CA9754BF969C177892A6C0AD75641,0.16,47.27678291,24,6.1,5,0.45,302495.13,0.17,2015,1.15,26.75,5
0101000020E61000002374869801905EC01FCA6141ABBE4740,-122.2500974,0101000020110F0000CCA1F152EEF469C119E3D6B635F95641,0.11,47.4896013,53,5.81,108,0.55,256159.26,0.45,1606.98,0.42,57.68,108
0101000020E6100000CBFCFE28C58B5EC0AFCA2A114DBF4740,-122.1839087,0101000020110F000055DAFC4F55F169C11CFFC91901FA5641,0.15,47.4945394,62,5.65,109,0.53,293435.44,0.32,1637.02,0.37,56.15,109
0101000020E61000008C6F8335A9945EC00AE2F20EA6BF4740,-122.3228277,0101000020110F00001FEA8A5CE2F869C1865D10F770FA5641,0.11,47.4972552,39,6.08,110,0.57,238785.31,0.44,1454.62,0.41,66.77,110
0101000020E6100000A469F57A9C8E5EC0D5C832ED30BE4740,-122.2283008,0101000020110F0000F4229406BFF369C1723EB9F79BF85641,0.11,47.48586812,66,5.79,111,0.52,299940.27,0.47,1901.36,0.25,57.94,111
,,,,,,,112,,,,,,,112
0101000020E61000008B5242B0AA7A5EC09761D49C59B64740,-121.916668,0101000020110F000079C4D4ACCEE269C1EBF3AFACC2EE5641,0.12,47.42460976,51,5.72,114,0.46,506148.1,0.29,2399.41,1.74,36.76,113
0101000020E61000003A84E0A7E08A5EC04F6B0513A0BF4740,-122.1699619,0101000020110F0000D9BA5D3E93F069C16086587169FA5641,0.12,47.49707258,64,5.67,115,0.55,291192.11,0.16,1575.31,0.51,42.88,114
,,,,,,,113,,,,,,,
0101000020E610000067CCC930938B5EC07C934B88DEC74740,-122.1808588,0101000020110F0000D1C68FDF2AF169C159D1BD07C8045741,0.18,47.56147865,48,5.47,170,0.55,626334.29,0.54,2223.54,0.15,49.44,169
0101000020E61000004CCC6905BC895EC06EB6C1A285C94740,-122.1521009,0101000020110F000053107DB59AEF69C1CBD3E89CDC065741,0.23,47.57439074,47,5.26,171,0.56,470018.62,0.4,1666.38,0.42,60.38,170
0101000020E610000086B7BD9385935EC01B596401B4C84740,-122.3050279,0101000020110F0000D751ACADEAF769C1FF2843B9D4055741,0.13,47.56799333,30,5.77,172,0.52,408413.93,0.7,1824,0.33,36.5,171
